Id, Image, Time, X, Y, Z, Heading, Roll, Pitch, Camera, Quality, Line, Color, AccuracyXyz
100,p000099.jpg,1727874972.8403,12.2220,0.6493,0.6648,-18.8693,-2.8619,-1.8682,0,1,0,C0;0;0;0;0;0,0.1
101,p000100.jpg,1727874973.8403,12.5150,1.2112,0.6883,-23.5454,-0.7546,-2.2739,0,1,0,C0;0;0;0;0;0,0.1
102,p000101.jpg,1727874974.8813,12.5426,1.8102,0.6518,-25.2189,0.6060,-0.8022,0,1,0,C0;0;0;0;0;0,0.1
103,p000102.jpg,1727874975.8813,12.2932,2.2695,0.6657,-25.2340,0.9921,0.2977,0,1,0,C0;0;0;0;0;0,0.1
104,p000103.jpg,1727874976.8813,11.7499,2.4916,0.6435,-26.3699,1.7237,1.2492,0,1,0,C0;0;0;0;0;0,0.1
105,p000104.jpg,1727874977.9233,11.1384,2.5846,0.6282,-34.1240,0.5351,1.0407,0,1,0,C0;0;0;0;0;0,0.1
106,p000105.jpg,1727874978.9233,10.4059,2.6952,0.6530,-34.5002,0.5482,2.6653,0,1,0,C0;0;0;0;0;0,0.1
107,p000106.jpg,1727874979.9233,9.6764,2.6313,0.6577,-34.7705,1.0249,0.1278,0,1,0,C0;0;0;0;0;0,0.1
108,p000107.jpg,1727874980.9653,9.0026,2.7038,0.6884,-37.2893,-2.4526,3.7479,0,1,0,C0;0;0;0;0;0,0.1
109,p000108.jpg,1727874981.9653,8.3112,2.8245,0.7140,-31.3740,0.5501,1.7765,0,1,0,C0;0;0;0;0;0,0.1
110,p000109.jpg,1727874982.9653,7.6650,3.0578,0.7535,-20.8680,-0.8477,3.1800,0,1,0,C0;0;0;0;0;0,0.1
111,p000110.jpg,1727874984.0063,7.1371,3.3811,0.7809,-13.6392,0.2589,0.7805,0,1,0,C0;0;0;0;0;0,0.1
112,p000111.jpg,1727874985.0063,6.7217,3.7709,0.7817,-2.6728,-0.2541,0.4645,0,1,0,C0;0;0;0;0;0,0.1
113,p000112.jpg,1727874986.0063,6.5166,4.3858,0.8091,1.7121,-0.8346,1.2523,0,1,0,C0;0;0;0;0;0,0.1
114,p000113.jpg,1727874987.0063,6.3260,4.9420,0.8320,6.6463,0.7250,1.8598,0,1,0,C0;0;0;0;0;0,0.1
115,p000114.jpg,1727874988.0483,6.3098,5.5589,1.0127,4.9902,-1.7002,-2.8999,0,1,0,C0;0;0;0;0;0,0.1
116,p000115.jpg,1727874989.0483,6.2408,5.9422,1.2009,7.6761,-0.9782,-3.8904,0,1,0,C0;0;0;0;0;0,0.1
117,p000116.jpg,1727874990.0483,6.2166,6.2774,1.2095,-1.5259,-1.5699,-2.8388,0,1,0,C0;0;0;0;0;0,0.1
118,p000117.jpg,1727874991.0483,6.0182,6.2456,1.2056,-29.6958,0.2434,-3.7800,0,1,0,C0;0;0;0;0;0,0.1
119,p000118.jpg,1727874992.0903,5.9417,6.1975,1.2092,-40.2478,0.6063,-5.1212,0,1,0,C0;0;0;0;0;0,0.1
